Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
212795;Kipamba;Kipamba;Kikondja,Kipamba;P;PPL;CD;Congo, Democratic Republic of the;;15;06;;;46430;;574;Africa/Lubumbashi;2024-04-20;Congo, Democratic Republic of the;-8.20591, 26.42036
214390;Kanyama;Kanyama;KNM,Kamiama,Kaniama,Kanyama;P;PPL;CD;Congo, Democratic Republic of the;;15;03;;;80043;;892;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-7.51668, 24.17404
215527;Kabinda;Kabinda;KBN,Kabinda,ka bin da,kabinda,kabynda,Кабинда,Кабінда,كابيندا,کابیندا,კაბინდა,カビンダ,卡宾达,卡賓達;P;PPL;CD;Congo, Democratic Republic of the;;21;02;;;219396;;884;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-6.13791, 24.48179
217637;Businga;Businga;Businga;P;PPL;CD;Congo, Democratic Republic of the;;26;05;;;48339;;362;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;3.33863, 20.88577
922741;Likasi;Likasi;Jadotstad,Jadotsville,Jadotville,Likasi,Likasis,laikasi,li ka xi,li kha chi,likaci,likasi,lykasy,rikashi,Λικάσι,Ликаси,Лікасі,Լիկասի,ליקאסי,ليكاسى,ليكاسي,لیکاسی,लिकासी,লিকাসি,લિકાસી,லிகாசி,లికాసి,ಲೈಕಾಸಿ,ලිකසි,ลิคาชิ,ლიკასი,リカシ,利卡西,리카시;P;PPL;CD;Congo, Democratic Republic of the;;14;06;;;635768;;1288;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-10.98303, 26.7384
2311127;Tshela;Tshela;Tshela;P;PPL;CD;Congo, Democratic Republic of the;;08;07;;;64210;;163;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-4.99707, 12.9484
8461573;Mwene;Mwene;;P;PPL;CD;Congo, Democratic Republic of the;;22;06;;;295683;;908;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-9.81697, 22.87023
2257925;Makabana;Makabana;KMK,Makabana;P;PPL;CG;Congo;;07;;;;13401;;168;Africa/Brazzaville;2023-11-29;Congo;-3.46333, 12.60556
2261008;Baratier;Baratier;Baratier,Kibouende,Kibouendé,Kibuende;P;PPL;CG;Congo;;11;;;;1936;;381;Africa/Brazzaville;2023-11-29;Congo;-4.15417, 14.90194
2261420;Abala;Abala;;P;PPL;CG;Congo;;11;;;;2584;;706;Africa/Brazzaville;2023-11-29;Congo;-3.36, 15.47583
210379;Lusambo;Lusambo;LBO,Lusambo,Luzambo,Лусамбо;P;PPLA;CD;Congo, Democratic Republic of the;;27;02;;;49376;;432;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-4.97503, 23.44391
2256997;Mokéko;Mokeko;Mokeko,Mokelo,Mokéko,Mokélo;P;PPL;CG;Congo;;10;;;;5758;;435;Africa/Brazzaville;2023-11-29;Congo;1.56333, 15.94111
206113;Pweto;Pweto;PWO,Pweto;P;PPL;CD;Congo, Democratic Republic of the;;14;09;;;38298;;954;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-8.46604, 28.90079
213666;Katwa;Katwa;;P;PPL;CD;Congo, Democratic Republic of the;;11;10;;;89352;;1750;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;0.08928, 29.30858
215558;Kabeya-Kamwanga;Kabeya-Kamwanga;Kabeya,Kabeya-Kamwanga,Kenankuna;P;PPL;CD;Congo, Democratic Republic of the;;04;07;;;44093;;649;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-5.9988, 23.25386
2316770;Bolenge;Bolenge;Bolenge,Bolongi;P;PPL;CD;Congo, Democratic Republic of the;;02;01;;;79648;;317;Africa/Kinshasa;2025-10-22;Congo, Democratic Republic of the;0.0, 18.21667
218855;Binga;Binga;Binga;P;PPL;CD;Congo, Democratic Republic of the;;25;02;;;96790;;384;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;2.37351, 20.49769
2312888;Mbanza-Ngungu;Mbanza-Ngungu;Mbanza-Ngungu,Thystad,Thysville,Мбанза-Нгунгу;P;PPL;CD;Congo, Democratic Republic of the;;08;13;;;142773;;735;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-5.25837, 14.85838
2313002;Matadi;Matadi;MAT,Matadi,Matadis,Matady,Matidi,Matádi,ma ta di,matadi,matady,Матади,Матады,Матаді,מאטדי,ماتادی,マタディ,马塔迪,마타디;P;PPLA;CD;Congo, Democratic Republic of the;;08;01;;;425662;;183;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-5.83861, 13.46306
2314302;Kinshasa;Kinshasa;FIH,Kincasa,Kinchasa,Kinchassa,Kinsas,Kinsasa,Kinsaso,Kinshasa,Kinshase,Kinsjasa,Kinszasa,Kinsásá,Kinxasa,Kinŝaso,Kinşasa,Kinšas,Kinšasa,Kînşasa,Leopoldstad,Leopoldville,Léopoldville,Quinxassa,jin sha sa,jin xia sha,kin cha sa,kinasasa,kinsaca,kinsasa,kinshasa,kinsyasa,knshasa,kynshasa,lei bao cheng,Κινσάσα,Киншаса,Киншасе,Кіншаса,Կինշասա,קינשאזע,קינשאסה,كينشاسا,کنشاسا,کنشاسہ,کینشاسا,किन्शासा,কিনশাসা,ਕਿਨਸ਼ਾਸਾ,கின்ஷாசா,കിൻഷസ,กินชาซา,ཀིན་ཤ་ས།,ကင်ရှာဆာမြို့,კინშასა,ኪንሻሳ,キンシャサ,金夏沙,金沙薩,雷堡城,킨샤사;P;PPLC;CD;Congo, Democratic Republic of the;;06;00;;;16000000;;281;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-4.32758, 15.31357
2256900;Mossaka;Mossaka;Mossaka,Village Mossaka;P;PPL;CG;Congo;;13;;;;21809;;288;Africa/Brazzaville;2023-11-29;Congo;-1.21982, 16.79921
212360;Kongolo;Kongolo;KOO,Kangolo,Kongolo,Конголо;P;PPL;CD;Congo, Democratic Republic of the;;29;09;;;86932;;562;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-5.38532, 27.00029
217562;Butembo;Butembo;Butembo,RUE,Бутембо;P;PPLA3;CD;Congo, Democratic Republic of the;;11;10;287;;286242;;1736;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;0.14164, 29.29117
217695;Bunia;Bunia;BUX,Bunia,Bunija,Bunya,Búnya,bu ni ya,Буниа,Буния,Буніа,布尼亞;P;PPLA;CD;Congo, Democratic Republic of the;;17;01;;;399282;;1265;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;1.55941, 30.25224
922597;Malemba;Malemba;Malemba,Mulemba;P;PPL;CD;Congo, Democratic Republic of the;;22;02;;;44027;;1092;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-10.37812, 24.54516
2312393;Moanda;Moanda;MNB,Moanda,Muanda;P;PPL;CD;Congo, Democratic Republic of the;;08;03;;;128804;;30;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-5.92753, 12.37148
2315579;Idiofa;Idiofa;IDF,Idiofa,Idiofo;P;PPL;CD;Congo, Democratic Republic of the;;20;06;;;87882;;681;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-4.96589, 19.59151
2258080;Loutété;Loutete;Loutete,Loutété;P;PPL;CG;Congo;;01;;;;27726;;215;Africa/Brazzaville;2023-11-29;Congo;-4.29611, 13.85083
2258375;Loango;Loango;Loango;P;PPLA;CG;Congo;;04;11996206;;;0;;1;Africa/Brazzaville;2025-04-02;Congo;-4.65602, 11.81032
207596;Mweka;Mweka;MEW,Mueka,Mveka,Mweka,Мвека;P;PPL;CD;Congo, Democratic Republic of the;;18;07;;;81267;;591;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-4.85187, 21.5595
216404;Gbadolite;Gbadolite;BDT,Bado,Badolite,Gbadolite,Гбадолите;P;PPLA;CD;Congo, Democratic Republic of the;;26;01;;;73835;;416;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;4.279, 21.00284
923058;Kambove;Kambove;Kambove;P;PPL;CD;Congo, Democratic Republic of the;;14;05;;;99884;;1386;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-10.87352, 26.59746
2315961;Dungu;Dungu;Dunge,Dungu;P;PPL;CD;Congo, Democratic Republic of the;;24;06;;;41076;;331;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-3.62437, 18.84943
2260009;Ewo;Ewo;EWO,Eouo,Ewo;P;PPLA;CG;Congo;;14;;;;11750;;536;Africa/Brazzaville;2025-11-15;Congo;-0.87465, 14.81648
2260063;Epéna;Epena;EPN,Epana,Epena,Epéna;P;PPL;CG;Congo;;06;;;;3257;;310;Africa/Brazzaville;2023-11-29;Congo;1.3525, 17.4525
209598;Manono;Manono;MNO,Manono;P;PPL;CD;Congo, Democratic Republic of the;;29;06;;;82465;;635;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-7.29862, 27.39894
218229;Bongandanga;Bongandanga;Bongandanga;P;PPL;CD;Congo, Democratic Republic of the;;25;05;;;4105;;389;Africa/Kinshasa;2021-09-10;Congo, Democratic Republic of the;1.50695, 21.0726
2312249;Mushie;Mushie;Mushie,mu xi,mwshy,myushi,موشى,موشي,ミュシー,穆希;P;PPL;CD;Congo, Democratic Republic of the;;24;11;;;61336;;325;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-3.01728, 16.92238
2255542;Owando;Owando;FTX,Fort Pousset,Fort-Rousset,Ouando,Ovando,Owando,Овандо;P;PPLA;CG;Congo;;13;;;;35698;;355;Africa/Brazzaville;2023-11-29;Congo;-0.48193, 15.89988
2255564;Ouesso;Ouesso;OUE,Ouesso,Ouésso;P;PPLA;CG;Congo;;10;7731853;;;40667;;348;Africa/Brazzaville;2025-11-15;Congo;1.61361, 16.05167
2256363;Ngabé;Ngabe;N'Gaba,Ngabe,Ngabé,N’Gaba;P;PPL;CG;Congo;;11;;;;2508;;272;Africa/Brazzaville;2023-11-29;Congo;-3.21472, 16.17361
2566818;Kimongo;Kimongo;;P;PPL;CG;Congo;;07;;;;4278;;393;Africa/Brazzaville;2023-11-29;Congo;-4.475, 12.9425
209228;Mbuji-Mayi;Mbuji-Mayi;Bakwanga,Boutzi-Magi,MJM,Mbudzi Maji,Mbuji-Mayi,Mbuzhi-Mai,Mbuzhi-Maji,Mbuzhy-Mai,mbwg'y-mʼyy,mu bu ji ma yi,Μπούτζι-Μάγι,Мбужи-Майи,Мбужы-Маі,Мбужі-Маї,Мбуџи Маји,מבוג'י-מאיי,姆布吉马伊;P;PPLA;CD;Congo, Democratic Republic of the;;04;01;;;2101332;;621;Africa/Lubumbashi;2025-05-06;Congo, Democratic Republic of the;-6.13603, 23.58979
210939;Luebo;Luebo;Luebo;P;PPL;CD;Congo, Democratic Republic of the;;18;04;;;45443;;498;Africa/Lubumbashi;2024-02-08;Congo, Democratic Republic of the;-5.35218, 21.42192
213940;Kasongo;Kasongo;Kasongo,Kazongo,Piani Kasongo,Saint Charles,St Charles,Tongoni,Tongoni Kapaya,Касонго;P;PPL;CD;Congo, Democratic Republic of the;;10;11;;;81629;;640;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-4.42741, 26.66656
214925;Kalima;Kalima;Kalima;P;PPL;CD;Congo, Democratic Republic of the;;29;10;;;72327;;755;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-5.4854, 28.21601
2254814;Zanaga;Zanaga;ANJ,Zanaga;P;PPL;CG;Congo;;05;;;;5941;;574;Africa/Brazzaville;2023-11-29;Congo;-2.85028, 13.82611
2256027;Ntokou-Raymondville;Ntokou-Raymondville;Ntokou-Raymondville,Ntokou-Remondville;P;PPL;CG;Congo;;13;11996205;;;5909;;304;Africa/Brazzaville;2025-10-22;Congo;0.0, 16.39083
2257389;Mbinda;Mbinda;Mbinda;P;PPL;CG;Congo;;07;;;;6335;;643;Africa/Brazzaville;2023-11-29;Congo;-2.10778, 12.87083
2258604;Bouansa;Bouansa;Bouansa,Bouenza,Le Briz,Moukoukoulou,Moukoulou,Moukouloukoulou;P;PPL;CG;Congo;;01;;;;27512;;199;Africa/Brazzaville;2023-11-29;Congo;-4.21861, 13.76167
2259077;Kindamba;Kindamba;Kindamba,Kindanba,Kindemba;P;PPL;CG;Congo;;11;;;;8630;;441;Africa/Brazzaville;2023-11-29;Congo;-3.7275, 14.52111
2259383;Kayes;Kayes;Jacob,Kai,Kajes,Kaye,Kayes,Kaï,Кайес;P;PPL;CG;Congo;;01;;;;58737;;165;Africa/Brazzaville;2013-04-13;Congo;-4.20493, 13.28608
215771;Isiro;Isiro;IRP,Isirio,Isiro,Paulis,Исиро;P;PPLA;CD;Congo, Democratic Republic of the;;16;01;;;255409;;761;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;2.77391, 27.61603
922559;Mokambo;Mokambo;;P;PPL;CD;Congo, Democratic Republic of the;;14;04;;;34762;;1334;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-12.42765, 28.34684
