Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
1090223;Trévani;Trevani;Trevani,Trévani;P;PPL;YT;;;97610;;;;4022;;18;Indian/Mayotte;2024-01-29;;-12.73437, 45.19861
1090387;Hamouro;Hamouro;Amoro,Hamouro;P;PPL;YT;;;97603;;;;1050;;20;Indian/Mayotte;2024-01-18;;-12.8813, 45.21494
11694895;Saint Louis;Saint Louis;Saint Louis,Sankt Louis,St.Louis,senthluys,เซนต์หลุยส์;P;PPLX;SC;Seychelles;;22;;;;3692;;86;Indian/Mahe;2025-10-02;Seychelles;-4.62457, 55.44441
935221;Saint-Paul;Saint-Paul;Saint-Paul;P;PPL;RE;Réunion;;RE;974;9744;97415;105240;;11;Indian/Reunion;2024-01-18;Réunion;-21.00961, 55.27134
935255;Sainte-Marie;Sainte-Marie;Sainte-Marie,Sent-Mari,Сент-Мари;P;PPL;RE;Réunion;;RE;974;9741;97418;34344;;9;Indian/Reunion;2024-01-18;Réunion;-20.89686, 55.55056
935713;La Mare;La Mare;La Mare,La Mare Usine,Mare;P;PPL;RE;Réunion;;RE;974;9741;97418;2189;;29;Indian/Reunion;2025-07-14;Réunion;-20.8978, 55.53264
935915;Entre-Deux;Entre-Deux;;P;PPLA4;RE;Réunion;;RE;974;9742;97403;7105;;445;Indian/Reunion;2024-01-18;Réunion;-21.23333, 55.46667
921704;Passamainty;Passamainty;Passamainti,Passamainty,Passamaïnti;P;PPL;YT;;;97611;;;;8430;;11;Indian/Mayotte;2024-01-29;;-12.80201, 45.20818
921835;Koni-Ngani;Koni-Ngani;Kone N'Goni,Kone N’Goni,Koni-Ngani;P;PPL;KM;Comoros;;01;;;;3288;;814;Indian/Comoro;2018-11-20;Comoros;-12.21583, 44.48
921897;Dziani;Dziani;Dziani,dzyany,دزيانى,دزياني;P;PPL;KM;Comoros;;01;;;;1754;;289;Indian/Comoro;2018-02-22;Comoros;-12.18333, 44.48333
921939;Chironkamba;Chironkamba;Chironkamba,bandorani=shironkanba,chyrwn kamba,tshyrwnkamba,تشيرونكامبا,چیرون کامبا,バンドラニ＝シロンカンバ;P;PPL;KM;Comoros;;01;;;;2391;;158;Indian/Comoro;2012-01-18;Comoros;-12.19111, 44.3525
1090583;Mtakoudja;Mtakoudja;Mtakoudja;P;PPL;KM;Comoros;;03;;;;1410;;39;Indian/Comoro;2012-01-19;Comoros;-12.26111, 43.70361
1091117;Mirontsi;Mirontsi;Mirontsi,myrwntsy,ميرونتسي;P;PPL;KM;Comoros;;01;;;;11955;;213;Indian/Comoro;2023-11-29;Comoros;-12.1604, 44.40986
1057996;Boriziny;Boriziny;Boriziny,Burizini,Port-Berge,Port-Bergé,bwryzyny,Буризини,بوریزینی,ポート・ベルジェ;P;PPL;MG;Madagascar;;42;42409;42409190;42409190001;23906;;22;Indian/Antananarivo;2023-12-21;Madagascar;-15.55, 47.66667
1059556;Marovatolena;Marovatolena;Marovatolena,marwwatwlna,ماروواتولنا;P;PPL;MG;Madagascar;;42;42411;42411110;42411110001;8769;;197;Indian/Antananarivo;2025-09-25;Madagascar;-15.18333, 47.65
1062818;Mahabe;Mahabe;Mahabe,Mahabo;P;PPL;MG;Madagascar;;44;44402;44402110;44402110001;10000;;293;Indian/Antananarivo;2018-09-10;Madagascar;-17.08333, 45.33333
1067982;Bekily;Bekily;Morafeno Bekily,OVA;P;PPL;MG;Madagascar;;52;52518;52518010;52518010004;20915;;383;Indian/Antananarivo;2023-12-21;Madagascar;-24.21667, 45.31667
1079681;Ambohitseheno;Ambohitseheno;Ambohitseheno,Ambokhicekheno,ambwhytshnw,Амбохицехено,امبوهیتسهنو;P;PPL;MG;Madagascar;;11;11106;11106271;11106271001;6000;;1479;Indian/Antananarivo;2018-09-10;Madagascar;-18.78333, 47.8
1083676;Ambarakaraka;Ambarakaraka;Ambarakaraka,ambarakaraka,امباراکاراکا;P;PPL;MG;Madagascar;;71;71717;71717231;71717231001;16114;;50;Indian/Antananarivo;2018-09-10;Madagascar;-13.5, 48.86667
934195;Petite Rivière;Petite Riviere;Ptit-Riv'er,Птит-Ривьер;P;PPL;MU;Mauritius;;12;;;;5331;;86;Indian/Mauritius;2013-08-25;Mauritius;-20.19551, 57.44592
934232;Notre Dame;Notre Dame;Notre Dame,Notre Dame Station;P;PPL;MU;Mauritius;;16;;;;3959;;132;Indian/Mauritius;2020-06-10;Mauritius;-20.14298, 57.55969
934570;Curepipe;Curepipe;Curepipe,K'jurpajp,Kiurpipas,Kjurpajp,Kjurpip,ju er pi pu,kulepipe,kur pip,kwrybyb,kyurupippu,Кьюрпайп,Кюрпип,Кјурпајп,كوريبيب,کیورپیپہ,กูร์ปีป,キュールピップ,居爾皮普,쿠레피페;P;PPL;MU;Mauritius;;17;;;;78618;;559;Indian/Mauritius;2023-02-01;Mauritius;-20.31628, 57.52594
