Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2263540;Santa Cruz;Santa Cruz;Santa Cruz,Santa Cruz (Madeira),Santa Krouz,Santa-Krush,Santa-Kruzh,santa krwz  madyra,santakeuluseu,sheng ke lu si,Σάντα Κρουζ,Санта-Круж,Санта-Круш,سانتا کروز، مادیرا,სანტა-კრუში,聖克魯斯,산타크루스;P;PPL;PT;Portugal;;10;3108;310805;;6010;;22;Atlantic/Madeira;2019-09-10;Portugal;32.68806, -16.79388
2270386;Camacha;Camacha;Camacha,Kamasha,Камаша;P;PPL;PT;Portugal;;10;3108;310802;;7991;;703;Atlantic/Madeira;2011-09-04;Portugal;32.67919, -16.84462
2271598;Arco da Calheta;Arco da Calheta;Arco da Calheta,Arco da Calheta  Madeira,Arku-da-Kal'eta,Арку-да-Кальета;P;PPL;PT;Portugal;;10;3101;310101;;3241;;236;Atlantic/Madeira;2016-11-23;Portugal;32.71502, -17.14974
3372698;Ribeira Seca;Ribeira Seca;Ribeira Seca;P;PPL;PT;Portugal;;23;4501;450103;;1025;;152;Atlantic/Azores;2018-02-27;Portugal;38.6, -27.98333
3373329;Arrifes;Arrifes;Arrafes,Arrifes;P;PPL;PT;Portugal;;23;4203;420301;;6981;;193;Atlantic/Azores;2012-01-17;Portugal;37.76667, -25.7
3372691;Ribeirinha;Ribeirinha;;P;PPL;PT;Portugal;;23;4301;430112;;2684;;171;Atlantic/Azores;2018-03-01;Portugal;38.66203, -27.18093
3372709;Ribeira Grande;Ribeira Grande;QEG,Ribeira Grande,Ribejra-Grande,Ribejra-Grandi,da li bei la,hibeilageulandeu,ribeira-grande,rybyra ghrandy,rybyra grandh,Рибейра-Гранди,Рібейра-Гранде,ريبيرا غراندي,ریبیرا گرانده,რიბეირა-გრანდე,大里貝拉,히베이라그란드;P;PPL;PT;Portugal;;23;4205;420510;;3968;;27;Atlantic/Azores;2018-04-15;Portugal;37.82175, -25.52141
3372760;Praia da Vitória;Praia da Vitoria;Praia,Praia da Victoria,Praia da Vitoria,Praia da Vitória,Vila da Praia da Victoria,Vila da Praia da Vitoria,Vila da Praia da Vitória;P;PPL;PT;Portugal;;23;4302;430207;;6061;;26;Atlantic/Azores;2020-06-10;Portugal;38.73333, -27.06667
3373099;Fajã de Baixo;Faja de Baixo;Faja de Baixo,Fajã de Baixo;P;PPL;PT;Portugal;;23;4203;420314;;4915;;37;Atlantic/Azores;2012-01-17;Portugal;37.75, -25.65
2628020;Neskaupstaður;Neskaupstadur;NOR,Nehskjojpstadur,Nes,Neskaupstad,Neskaupstadar,Neskaupstadhur,Neskaupstadur,Neskaupstað,Neskaupstaðar,Neskaupstaður,Neskejpstadir,Neskjojpstadjur,Neskjojpstadzjur,Neskoipstaduras,Neskojpstadur,nei si ke yi si ta ze,neseukoeipeuseutadwileu,nesukoipusutazuru,Нескејпстадир,Нескойпстадур,Нескёйпстадзюр,Нескёйпстадюр,Нэскёйпстадур,נסקאופסטדור,ネスコイプスタズル,內斯克伊斯塔澤,네스쾨이프스타뒤르;P;PPL;IS;Iceland;;38;7300;;;1481;;1;Atlantic/Reykjavik;2022-01-14;Iceland;65.14819, -13.68368
